,fire_name,fire_size,fire_size_class,stat_cause_descr,fips_name,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,remoteness,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont
5001,,1.0,B,Debris Burning,Warren,38.80722945,-91.1415291,MO,1992-03-16,,Mar,1992-03-16 18:08:00,,,1992-02-15,1992,Feb,724347,63054.44500296503,99999,1976,2005,0,0.1,File Not Found,70034.22070753474,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5002,,24.0,C,Debris Burning,,43.9793,-103.7665,SD,2009-01-05,,Jan,,,,2008-12-06,2008,Dec,726514,29889.555920882245,99999,2006,2020,9,1.0,726514-94032-2008.gz,76747.29383269,-6.769959404600818,-5.541780821917806,-3.1287671232876715,0.0,3.072395128552082,3.6582191780822013,4.468493150684933,0.0,64.28958051420842,59.04109589041096,60.21917808219178,0.0,13.700000000000001,2.5,0.0,0.0
5003,,5.0,B,Equipment Use,Levy,29.40749999,-82.59278001,FL,2006-05-30,,May,,,,2006-04-30,2006,Apr,747560,44012.332698635575,12816,2005,2020,12,0.1,747560-12816-2006.gz,65942.24629059248,22.849765258215964,23.8705035971223,25.24137931034483,24.766179540709803,3.1247652582159313,3.1647482014388464,2.895566502463062,2.6840292275573896,67.88347205707494,67.23471882640577,69.32653061224487,75.25509110396571,16.1,1.1,0.3,112.5
5004,GUINDA                   ,8.0,B,Miscellaneous,,38.89305555,-122.19805555,CA,1993-09-03,,Sep,,,,1993-08-04,1993,Aug,724839,58304.59390341591,99999,1959,2020,0,0.1,724839-93225-1993.gz,87410.59430174151,24.309494640122562,24.62413793103447,24.128205128205124,21.29535928143714,3.2412942989214053,2.7354430379746892,2.3279220779220777,2.500300751879698,50.90909090909091,48.876582278481,50.77922077922077,55.83661119515886,0.0,0.0,0.0,0.0
5005,,1.0,B,Fireworks,,41.81302,-103.681,NE,2014-07-05,2014-07-05,Jul,2014-07-05 21:24:00,2014-07-05 21:35:00,0 days 00:00:00.000000000,2014-06-05,2014,Jun,720979,25574.294588307843,99999,2012,2020,15,0.1,720979-99999-2014.gz,76743.27577895037,17.49214208826699,19.641728395061715,20.681547619047613,0.0,5.918406889128093,5.3990123456789965,5.512500000000011,0.0,60.365853658536594,57.82835820895522,51.37500000000002,0.0,63.8,42.1,3.0,0.0
5006,,12.0,C,Arson,Hancock,30.56886936,-89.47003913,MS,1993-03-05,1993-03-05,Mar,1993-03-05 12:45:00,1993-03-05 14:00:00,0 days 00:00:00.000000000,1993-02-03,1993,Feb,722138,22461.89545528264,99999,1973,2010,12,1.0,File Not Found,69453.58263526468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
5007,FATHERS DAY,1000.0,F,Equipment Use,Converse,42.78406,-105.4509,WY,2012-06-17,2012-06-17,Jun,2012-06-17 14:00:00,2012-06-17 18:00:00,0 days 00:00:00.000000000,2012-05-18,2012,May,725686,5501.085063673359,99999,2006,2020,4,50.0,725686-94057-2012.gz,77705.65898008361,16.313189448441285,20.079028132992313,18.42747252747251,0.0,5.434652278177431,5.116112531969298,5.286813186813193,0.0,49.367469879518055,39.77493606138108,37.69780219780221,0.0,29.5,7.199999999999999,2.1,0.0
5008,I 8 RAMP  / DUNBAR LN 6  ,1.0,B,Debris Burning,,32.85694444,-116.82,CA,2006-12-01,,Dec,,,,2006-11-01,2006,Nov,722904,34983.80120511037,99999,1942,2020,12,0.1,722904-03178-2006.gz,84468.48695793119,15.069370229007621,14.115019762845836,12.822380952380959,12.513609467455632,2.02223282442746,2.138932806324121,3.1319047619047704,2.8646153846153477,70.34047109207717,66.67586206896551,67.12980769230771,57.93742331288344,5.6,3.6,3.6,15.3
5009,,3.0,B,Miscellaneous,Essex,44.016904,-74.126165,NY,2001-10-14,,Oct,,,,2001-09-14,2001,Sep,726228,41105.106155195666,99999,1990,2020,15,0.1,726228-99999-2001.gz,61210.97906012844,10.140200286123031,8.777142857142861,8.353293413173652,4.6176046176046155,3.5017543859648974,3.5824902723735543,3.4042857142857192,3.9894551845342394,71.28115942028988,69.78468899521529,70.93162393162399,76.51749539594836,4.2,3.5999999999999996,1.6,44.499999999999986
5010,,1.0,B,Debris Burning,Ellis,32.381190000000004,-97.04188,TX,2008-07-05,,Jul,,,,2008-06-05,2008,Jun,720299,14007.601092253664,99999,2006,2020,12,0.1,720299-53966-2008.gz,73409.89930019049,26.81830855018587,26.749768303985174,26.733598409542743,28.838589981447136,4.063754646840266,2.954772937905438,2.5755467196819035,3.1829777365492222,62.00334768053574,58.98980537534753,55.99204771371769,54.4661618551822,0.0,0.0,0.0,0.0
